Date,Category,Amount,Payment Method,Month,Month Name,Day,Weekday
2021-01-01,Food,551.13,CARD,1,January,1,Friday
2021-01-01,Food,446.65,UPI,1,January,1,Friday
2021-01-01,Food,241.63,CARD,1,January,1,Friday
2021-01-01,Food,646.3,CARD,1,January,1,Friday
2021-01-01,Food,665.16,CARD,1,January,1,Friday
2021-01-01,Food,346.86,CASH,1,January,1,Friday
2021-01-01,Food,573.5,UPI,1,January,1,Friday
2021-01-01,Food,396.23,UPI,1,January,1,Friday
2021-01-01,Food,499.45,UPI,1,January,1,Friday
2021-01-01,Food,569.76,CARD,1,January,1,Friday
2021-01-01,Food,694.72,UPI,1,January,1,Friday
2021-01-01,Food,598.78,CARD,1,January,1,Friday
2021-01-01,Food,439.43,CASH,1,January,1,Friday
2021-01-01,Food,929.71,CARD,1,January,1,Friday
2021-01-01,Food,225.14,CARD,1,January,1,Friday
2021-01-01,Food,441.91,CARD,1,January,1,Friday
2021-01-01,Food,404.92,UPI,1,January,1,Friday
2021-01-01,Food,728.72,UPI,1,January,1,Friday
2021-01-01,Food,130.92,CASH,1,January,1,Friday
2021-01-01,Food,431.89,CASH,1,January,1,Friday
2021-01-01,Food,373.62,UPI,1,January,1,Friday
2021-01-01,Food,615.54,CASH,1,January,1,Friday
2021-01-01,Food,730.35,UPI,1,January,1,Friday
2021-01-01,Food,216.07,CASH,1,January,1,Friday
2021-01-01,Food,1026.45,CARD,1,January,1,Friday
2021-01-01,Food,408.21,UPI,1,January,1,Friday
2021-01-01,Food,810.02,CARD,1,January,1,Friday
2021-01-01,Food,1109.65,CARD,1,January,1,Friday
2021-01-01,Food,741.21,UPI,1,January,1,Friday
2021-01-01,Food,694.58,UPI,1,January,1,Friday
2021-01-01,Food,135.91,UPI,1,January,1,Friday
2021-01-01,Food,419.65,CARD,1,January,1,Friday
2021-01-01,Food,311.42,CARD,1,January,1,Friday
2021-01-01,Food,410.01,CARD,1,January,1,Friday
2021-01-01,Food,889.02,CASH,1,January,1,Friday
2021-01-01,Food,827.3,CASH,1,January,1,Friday
2021-01-01,Food,836.21,UPI,1,January,1,Friday
2021-01-01,Food,486.01,CARD,1,January,1,Friday
2021-01-01,Food,784.16,CARD,1,January,1,Friday
2021-01-01,Food,869.73,CASH,1,January,1,Friday
2021-01-01,Food,508.63,CASH,1,January,1,Friday
2021-01-01,Food,227.68,CARD,1,January,1,Friday
2021-01-01,Food,167.64,CASH,1,January,1,Friday
2021-01-01,Food,808.04,CASH,1,January,1,Friday
2021-01-01,Food,338.64,CARD,1,January,1,Friday
2021-01-01,Food,535.53,CARD,1,January,1,Friday
2021-01-01,Food,563.7,CARD,1,January,1,Friday
2021-01-01,Food,590.61,CASH,1,January,1,Friday
2021-01-01,Food,255.52,CASH,1,January,1,Friday
2021-01-01,Food,339.43,UPI,1,January,1,Friday
2021-01-01,Food,201.66,UPI,1,January,1,Friday
2021-01-01,Food,1200.89,CASH,1,January,1,Friday
2021-01-01,Food,288.01,CARD,1,January,1,Friday
2021-01-01,Food,595.87,UPI,1,January,1,Friday
2021-01-01,Food,384.92,UPI,1,January,1,Friday
2021-01-01,Food,697.91,UPI,1,January,1,Friday
2021-01-01,Food,523.91,UPI,1,January,1,Friday
2021-01-01,Food,772.62,UPI,1,January,1,Friday
2021-01-01,Food,275.09,CARD,1,January,1,Friday
2021-01-01,Food,257.6,CARD,1,January,1,Friday
2021-01-01,Food,345.51,CARD,1,January,1,Friday
2021-01-01,Food,591.21,CASH,1,January,1,Friday
2021-01-01,Food,467.33,CASH,1,January,1,Friday
2021-01-01,Food,454.4,UPI,1,January,1,Friday
2021-01-01,Food,269.8,CASH,1,January,1,Friday
2021-01-01,Food,257.54,UPI,1,January,1,Friday
2021-01-01,Food,171.65,CASH,1,January,1,Friday
2021-01-01,Food,118.82,CARD,1,January,1,Friday
2021-01-01,Food,600.98,CASH,1,January,1,Friday
2021-01-01,Food,190.38,UPI,1,January,1,Friday
2021-01-01,Food,430.36,UPI,1,January,1,Friday
2021-01-01,Food,426.22,CARD,1,January,1,Friday
2021-01-01,Food,517.46,UPI,1,January,1,Friday
2021-01-01,Food,790.36,UPI,1,January,1,Friday
2021-01-01,Food,267.17,UPI,1,January,1,Friday
2021-01-01,Food,389.84,CARD,1,January,1,Friday
2021-01-01,Food,775.04,CARD,1,January,1,Friday
2021-01-01,Food,805.79,CASH,1,January,1,Friday
