UserID,Year,Month,Income,Income_Bracket,Festivals,Festival_Count,Food,Groceries,Transport,Entertainment,Shopping,Rent,Bills,Healthcare,Education,Total_Expenses,Savings,Food_Ratio,Groceries_Ratio,Transport_Ratio,Entertainment_Ratio,Shopping_Ratio,Rent_Ratio,Bills_Ratio,Healthcare_Ratio,Education_Ratio
USER_012,2021,1,7268.67,4,New Year's Day,1,551.13,879.47,633.01,668.26,472.78,1558.16,1002.63,358.23,539.39,6663.06,605.61,0.0758,0.121,0.0871,0.0919,0.065,0.2144,0.1379,0.0493,0.0742
USER_014,2021,1,5017.75,3,New Year's Day,1,446.65,683.99,502.62,450.73,342.24,1355.41,584.96,284.63,368.18,5019.41,-1.66,0.089,0.1363,0.1002,0.0898,0.0682,0.2701,0.1166,0.0567,0.0734
USER_020,2021,1,2646.92,1,New Year's Day,1,241.63,399.62,237.0,251.69,185.45,698.73,340.57,116.81,162.92,2634.42,12.5,0.0913,0.151,0.0895,0.0951,0.0701,0.264,0.1287,0.0441,0.0616
USER_023,2021,1,8131.0,4,New Year's Day,1,646.3,1055.7,761.08,555.7,679.91,2028.24,923.54,432.48,449.44,7532.39,598.61,0.0795,0.1298,0.0936,0.0683,0.0836,0.2494,0.1136,0.0532,0.0553
USER_039,2021,1,7702.83,4,New Year's Day,1,665.16,895.81,779.55,698.9,594.44,2186.93,1050.16,392.11,458.41,7721.47,-18.64,0.0864,0.1163,0.1012,0.0907,0.0772,0.2839,0.1363,0.0509,0.0595
USER_041,2021,1,4218.92,2,New Year's Day,1,346.86,435.18,504.55,440.3,279.87,1111.25,538.26,195.0,236.98,4088.25,130.67,0.0822,0.1031,0.1196,0.1044,0.0663,0.2634,0.1276,0.0462,0.0562
USER_049,2021,1,7056.83,4,New Year's Day,1,573.5,920.5,866.85,473.3,424.72,1957.66,686.71,431.18,382.76,6717.18,339.65,0.0813,0.1304,0.1228,0.0671,0.0602,0.2774,0.0973,0.0611,0.0542
USER_050,2021,1,5381.33,3,New Year's Day,1,396.23,583.67,455.45,506.34,430.47,1373.74,573.75,263.0,345.57,4928.22,453.11,0.0736,0.1085,0.0846,0.0941,0.08,0.2553,0.1066,0.0489,0.0642
USER_055,2021,1,5598.92,3,New Year's Day,1,499.45,620.98,453.36,530.93,423.14,1314.92,710.54,241.13,292.71,5087.16,511.76,0.0892,0.1109,0.081,0.0948,0.0756,0.2349,0.1269,0.0431,0.0523
USER_060,2021,1,8295.33,4,New Year's Day,1,569.76,790.77,698.18,671.35,488.06,1791.01,788.23,457.24,544.03,6798.63,1496.7,0.0687,0.0953,0.0842,0.0809,0.0588,0.2159,0.095,0.0551,0.0656
USER_063,2021,1,8111.58,4,New Year's Day,1,694.72,1163.2,811.25,736.89,544.07,2174.61,1036.27,344.88,384.05,7889.94,221.64,0.0856,0.1434,0.1,0.0908,0.0671,0.2681,0.1278,0.0425,0.0473
USER_071,2021,1,6367.0,3,New Year's Day,1,598.78,883.62,558.66,461.39,423.91,1314.4,794.02,297.31,336.83,5668.92,698.08,0.094,0.1388,0.0877,0.0725,0.0666,0.2064,0.1247,0.0467,0.0529
USER_072,2021,1,4719.67,2,New Year's Day,1,439.43,589.15,467.12,326.69,364.57,1413.49,685.98,225.44,258.5,4770.37,-50.7,0.0931,0.1248,0.099,0.0692,0.0772,0.2995,0.1453,0.0478,0.0548
